"id_nota_debito","pto_vta","NroNotaDebito","Fecha","Tipo_Entidad","entidad_id","Concepto","observacion","efectivo","PorImpuesto","ImpImpuesto","Total","Estado","feccre","fecultmod","vendedor_id"
"50","2","50","2020-09-29","C","905","Factura/s  2906",,"82.5","21","17.33","99.83",,"2020-09-29 16:27:34",,
"51","2","51","2020-11-02","C","960","Factura/s  2879",,"555","21","116.55","671.55",,"2020-11-02 19:55:14",,
"52","2","52","2020-12-17","C","873"," Nota de Debito de Factura:  2940",,"675","21","141.75","816.75",,"2020-12-17 18:53:41",,
"53","2","53","2020-12-17","C","902"," Nota de Debito de Factura:  3007",,"595","21","124.95","719.95",,"2020-12-17 19:33:09",,
"54","2","54","2021-01-18","C","873","Servicio de Asesoramiento ",,"800","21","0","800",,"2021-01-18 14:50:32",,
"55","2","55","2021-01-18","C","899","Servicio de Asesoramiento ",,"3200","0","0","3200",,"2021-01-18 14:50:58",,
"56","2","56","2021-11-23","C","442"," Nota de Debito de Factura:  3828",,"49","21","10.29","59.29",,"2021-11-23 14:40:08",,"5"
"57","2","57","2022-04-27","C","784"," Nota de Debito de Factura:",,"6435.99","0","0","6435.99",,"2022-04-27 18:15:12",,
"58","2","58","2022-04-27","C","821","Servicio de Asesoramiento ",,"1359.92","0","0","1359.92",,"2022-04-27 18:19:51",,
"59","2","59","2022-04-27","C","138","Servicio de Asesoramiento ",,"3816.46","0","0","3816.46",,"2022-04-27 18:20:32",,
"60","2","60","2022-04-27","C","776","Servicio de Asesoramiento ",,"180","0","0","180",,"2022-04-27 18:21:00",,
"61","2","61","2022-04-27","C","958","Servicio de Asesoramiento ",,"1.3","0","0","1.3",,"2022-04-27 18:21:41",,
"62","2","62","2022-04-27","C","940","Servicio de Asesoramiento ",,"0.3","0","0","0.3",,"2022-04-27 18:22:18",,
"63","2","63","2022-04-27","C","347","Servicio de Asesoramiento ",,"23.6","0","0","23.6",,"2022-04-27 18:23:12",,
"64","2","64","2022-04-27","C","866","Servicio de Asesoramiento ",,"124.05","0","0","124.05",,"2022-04-27 18:24:00",,
"65","2","65","2022-04-27","C","917","Servicio de Asesoramiento ",,"731.66","0","0","731.66",,"2022-04-27 18:25:47",,
"66","2","66","2022-05-16","C","843","Servicio de Asesoramiento ",,"10","0","0","10",,"2022-05-16 17:25:22",,
"67","2","67","2022-05-16","C","9","Servicio de Asesoramiento ",,"0.01","0","0","0.01",,"2022-05-16 17:25:55",,
"68","2","68","2022-05-16","C","972","Servicio de Asesoramiento ",,"0.01","0","0","0.01",,"2022-05-16 17:26:20",,
"69","2","69","2022-05-16","C","983","Servicio de Asesoramiento ",,"180","0","0","180",,"2022-05-16 17:29:22",,
"70","2","70","2022-05-16","C","1016","Servicio de Asesoramiento ",,"0.87","0","0","0.87",,"2022-05-16 17:30:15",,
"71","2","71","2022-05-16","C","758","Servicio de Asesoramiento ",,"2.19","0","0","2.19",,"2022-05-16 17:31:45",,
"72","2","72","2022-05-16","C","759","Servicio de Asesoramiento ",,"0.01","0","0","0.01",,"2022-05-16 17:32:24",,
"73","2","73","2022-05-16","C","167","Servicio de Asesoramiento ",,"0.11","0","0","0.11",,"2022-05-16 17:33:00",,
"74","2","74","2022-05-16","C","153","Servicio de Asesoramiento ",,"0.01","0","0","0.01",,"2022-05-16 17:33:25",,
"75","2","75","2022-05-16","C","861","Servicio de Asesoramiento ",,"2","0","0","2",,"2022-05-16 17:34:04",,
"76","2","76","2022-05-16","C","80","Servicio de Asesoramiento ",,"1.6","0","0","1.6",,"2022-05-16 17:34:51",,
"77","2","77","2022-05-16","C","864","Servicio de Asesoramiento ",,"0.01","0","0","0.01",,"2022-05-16 17:35:35",,
"78","2","78","2022-05-16","C","943","Servicio de Asesoramiento ",,"1","0","0","1",,"2022-05-16 17:36:02",,
"79","2","79","2022-05-16","C","172","Servicio de Asesoramiento ",,"1.6","0","0","1.6",,"2022-05-16 17:36:44",,
"80","2","80","2022-05-16","C","849","Servicio de Asesoramiento ",,"0.01","0","0","0.01",,"2022-05-16 17:37:08",,
"81","2","81","2022-05-16","C","119","Servicio de Asesoramiento ",,"0.18","0","0","0.18",,"2022-05-16 17:37:40",,
"82","2","82","2022-07-13","C","899","Servicio de Asesoramiento ",,"1833.2","0","0","1833.2",,"2022-07-13 18:45:55",,
"83","2","83","2022-07-13","C","991","Servicio de Asesoramiento ",,"3","0","0","3",,"2022-07-13 18:46:46",,
"84","2","84","2022-07-13","C","759","Servicio de Asesoramiento ",,"0.02","0","0","0.02",,"2022-07-13 18:47:12",,
"85","2","85","2022-07-13","C","452","Servicio de Asesoramiento ",,"1.49","0","0","1.49",,"2022-07-13 18:48:10",,
"86","2","86","2022-07-13","C","1023","Servicio de Asesoramiento ",,"450.3","0","0","450.3",,"2022-07-13 18:49:21",,
"87","2","87","2022-07-13","C","929","Servicio de Asesoramiento ",,"30.24","0","0","30.24",,"2022-07-13 18:50:03",,
"88","2","88","2022-07-13","C","799","Servicio de Asesoramiento ",,"1010.33","0","0","1010.33",,"2022-07-13 18:53:58",,
"89","2","89","2022-08-16","C","899"," Nota de Debito de Factura:  4277",,"2355.37","21","494.63","2850",,"2022-08-16 14:41:19",,"5"
"90","2","90","2022-10-04","C","956"," Nota de Debito de Factura:  82",,"39937.5","21","8386.88","48324.38",,"2022-10-04 14:30:36",,"5"
"91","2","91","2022-10-04","C","956","Servicio de Asesoramiento ",,"39937.5","21","8386.88","48324.38",,"2022-10-04 14:45:13",,
"92","2","92","2022-11-15","C","899","Servicio de Asesoramiento ",,"7250","0","0","7250",,"2022-11-15 19:10:38",,
"93","2","93","2022-11-24","C","899"," Nota de Debito de Factura:  4475",,"7250","0","0","7250",,"2022-11-24 14:55:38",,"5"
"94","2","94","2023-01-13","C","890"," Nota de Debito de Factura:  4605",,"10000","0","0","10000",,"2023-01-13 08:37:33",,"5"
"95","2","95","2023-01-13","C","504"," Nota de Debito de Factura:  4621",,"1450","0","0","1450",,"2023-01-13 11:31:27",,"5"
"96","2","96","2023-02-01","C","899"," Nota de Debito de Factura:  4678",,"1450","0","0","1450",,"2023-02-01 19:20:20",,"5"
"97","2","97","2023-02-24","B","1313","Servicio de Asesoramiento ",,"0.01","0","0","0.01",,"2023-02-24 14:09:50",,
"98","2","98","2023-02-24","C","807","Servicio de Asesoramiento ",,"0.01",,"0","0.01",,"2023-02-24 14:10:08",,
"99","2","99","2023-02-24","C","169","Servicio de Asesoramiento ",,"0.01","0","0","0.01",,"2023-02-24 14:11:05",,
