"id","entidad_id","honorario_producto_id","honorario_id","producto_id","importe","created_at","updated_at"
"1","843","45","5","9","0","2026-6-25 14:04:04","2026-6-25 14:04:04"
"2","843","27","8","6","55","2026-6-25 14:04:04","2026-6-25 14:04:04"
"3","968","6","3","6","55","2026-6-25 14:04:04","2026-6-25 14:04:04"
"4","933","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"5","915","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"6","893","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"7","1061","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"8","965","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"9","879","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"10","945","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"11","891","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"12","898","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"13","1002","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"14","927","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"15","1048","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"16","805","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"17","435","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"18","899","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"19","938","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"20","840","2","2","3","150","2026-6-25 14:04:04","2026-6-25 14:04:04"
"21","860","2","2","3","150","2026-6-25 14:04:04","2026-6-25 14:04:04"
"22","952","3","3","3","175","2026-6-25 14:04:04","2026-6-25 14:04:04"
"23","955","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"24","1019","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"25","526","16","4","3","140","2026-6-25 14:04:04","2026-6-25 14:04:04"
